num_repetitions,2
data,a9a
n_pca_components,
n_all_train,46842
n_labelled_values,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
n_unlabelled_values,"[40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380]"
n_test_set,1000
n_val_set,1000
unl_to_lab_ratio,20
n_labelled,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
n_unlabelled,"[40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380]"
sl_acc,"[0.827, 0.833, 0.834, 0.836, 0.827, 0.781, 0.781, 0.837, 0.838, 0.838, 0.839, 0.839, 0.838, 0.838, 0.839, 0.781, 0.781, 0.781, 0.83, 0.837, 0.837, 0.837, 0.832, 0.832, 0.832, 0.833, 0.833, 0.833, 0.837, 0.833, 0.833, 0.83, 0.83, 0.83, 0.83, 0.83]"
ssl_acc,"[0.869, 0.859, 0.861, 0.861, 0.868, 0.797, 0.79, 0.859, 0.855, 0.857, 0.857, 0.857, 0.855, 0.857, 0.859, 0.791, 0.792, 0.791, 0.871, 0.859, 0.859, 0.859, 0.868, 0.869, 0.865, 0.87, 0.869, 0.871, 0.858, 0.867, 0.868, 0.87, 0.868, 0.867, 0.868, 0.867]"
ul_acc,"[0.608, 0.64, 0.509, 0.646, 0.635, 0.666, 0.517, 0.656, 0.523, 0.645, 0.637, 0.718, 0.613, 0.528, 0.578, 0.528, 0.619, 0.622, 0.551, 0.535, 0.694, 0.504, 0.503, 0.535, 0.616, 0.522, 0.562, 0.519, 0.583, 0.578, 0.576, 0.518, 0.604, 0.607, 0.601, 0.509]"
st_acc,"[0.825, 0.827, 0.829, 0.829, 0.824, 0.827, 0.828, 0.826, 0.826, 0.825, 0.827, 0.827, 0.829, 0.829, 0.828, 0.827, 0.827, 0.828, 0.83, 0.829, 0.83, 0.829, 0.829, 0.827, 0.827, 0.828, 0.828, 0.828, 0.827, 0.832, 0.826, 0.829, 0.823, 0.827, 0.828, 0.829]"
sl_diff_acc,"[0.04200000000000004, 0.026000000000000023, 0.027000000000000024, 0.025000000000000022, 0.041000000000000036, 0.016000000000000014, 0.009000000000000008, 0.02200000000000002, 0.017000000000000015, 0.019000000000000017, 0.018000000000000016, 0.018000000000000016, 0.017000000000000015, 0.019000000000000017, 0.020000000000000018, 0.010000000000000009, 0.01100000000000001, 0.010000000000000009, 0.041000000000000036, 0.02200000000000002, 0.02200000000000002, 0.02200000000000002, 0.03600000000000003, 0.03700000000000003, 0.03300000000000003, 0.03700000000000003, 0.03600000000000003, 0.038000000000000034, 0.02100000000000002, 0.03400000000000003, 0.03500000000000003, 0.040000000000000036, 0.038000000000000034, 0.03700000000000003, 0.038000000000000034, 0.03700000000000003]"
ul_diff_acc,"[0.261, 0.21899999999999997, 0.352, 0.21499999999999997, 0.23299999999999998, 0.131, 0.273, 0.20299999999999996, 0.33199999999999996, 0.21199999999999997, 0.21999999999999997, 0.139, 0.242, 0.32899999999999996, 0.281, 0.263, 0.17300000000000004, 0.16900000000000004, 0.31999999999999995, 0.32399999999999995, 0.16500000000000004, 0.355, 0.365, 0.33399999999999996, 0.249, 0.348, 0.30699999999999994, 0.352, 0.275, 0.28900000000000003, 0.29200000000000004, 0.352, 0.264, 0.26, 0.267, 0.358]"
st_diff_acc,"[0.04400000000000004, 0.03200000000000003, 0.03200000000000003, 0.03200000000000003, 0.04400000000000004, -0.029999999999999916, -0.03799999999999992, 0.03300000000000003, 0.029000000000000026, 0.03200000000000003, 0.030000000000000027, 0.030000000000000027, 0.026000000000000023, 0.028000000000000025, 0.031000000000000028, -0.03599999999999992, -0.03499999999999992, -0.03699999999999992, 0.041000000000000036, 0.030000000000000027, 0.029000000000000026, 0.030000000000000027, 0.039000000000000035, 0.04200000000000004, 0.038000000000000034, 0.04200000000000004, 0.041000000000000036, 0.04300000000000004, 0.031000000000000028, 0.03500000000000003, 0.04200000000000004, 0.041000000000000036, 0.04500000000000004, 0.040000000000000036, 0.040000000000000036, 0.038000000000000034]"
avg_sl_acc,"[0.8285 0.835  0.8355 0.8365 0.8295 0.8065 0.8065 0.835  0.8355 0.8355
 0.838  0.836  0.8355 0.834  0.8345 0.8055 0.8055 0.8055]"
avg_ssl_acc,"[0.87   0.859  0.86   0.86   0.868  0.833  0.8275 0.8645 0.862  0.864
 0.8575 0.862  0.8615 0.8635 0.8635 0.829  0.83   0.829 ]"
avg_ul_acc,"[0.5795 0.5875 0.6015 0.575  0.569  0.6005 0.5665 0.589  0.5425 0.582
 0.61   0.648  0.5945 0.523  0.591  0.5675 0.61   0.5655]"
avg_st_acc,"[0.8275 0.828  0.8295 0.829  0.8265 0.827  0.8275 0.827  0.827  0.8265
 0.827  0.8295 0.8275 0.829  0.8255 0.827  0.8275 0.8285]"
ul_vs_bayes,0.6887102667153818
sl_vs_bayes,0.9810010960906103
